;1891-1895;1896-1900;1901-1905;1906-1910;1911-1915;1916-1920;1921-1925;1926-1930;1931-1935;1936-1940;1941-1945;1946-1950
Synnynn‰inen heikkous, ennenaikainen syntym‰;7.8;7.3;6.6;6.3;5.2;3.5;1.7;1.7;1.6;1.9;3.0;3.1
'Vanhuuden taudit';5.9;4.8;3.4;2.5;1.9;2.1;2.7;2.0;1.7;4.5;5.3;5.6
Lavantauti ja pikkulavantauti;2.4;1.0;1.2;1.5;0.2;0.6;0.3;0.1;0.1;0.1;0.2;0.1
Tuhkarokko;6.2;3.6;2.1;4.1;2.4;1.1;0.2;0.1;0.1;0.1;0.1;0.0
Tulirokko;5.0;3.7;1.0;2.6;2.4;1.2;0.1;0.4;0.1;0.3;0.2;0.0
Hinkuysk‰;2.4;2.0;2.4;2.1;1.9;0.9;0.5;0.4;0.2;0.2;0.2;0.1
Kurkkum‰t‰;3.6;1.1;0.5;1.1;2.2;2.1;0.2;0.1;0.2;0.2;1.1;0.2
Influenssa;1.5;0.8;1.1;1.9;0.8;12.9;2.7;2.1;1.7;1.5;0.3;0.2
Ruusu;0.8;0.8;0.7;0.8;0.7;0.7;0.3;1.1;0.6;0.3;0.4;0.1
Verenmyrkytys;2.2;1.2;1.5;1.5;1.6;2.0;2.3;3.4;2.2;1.7;1.6;0.6
Keuhko- ja kurkunp‰‰tuberkuloosi;33.3;28.3;26.1;25.2;23.2;21.4;18.1;20.5;17.8;16.6;16.9;13.4
Aivokalvo- ja aivotuberkuloosi;9.7;5.9;5.1;5.1;4.6;2.8;2.1;1.8;0.9;0.6;0.8;0.3
Muut tuberkuloosimuodot;..;1.3;1.3;1.3;1.9;1.5;1.2;1.0;0.7;0.7;1.0;0.6
Diabetes;..;..;0.5;0.6;0.7;0.6;0.6;0.8;1.2;1.3;0.7;0.6
Aivoverenvuoto ja aivokalvonverenvuoto;4.1;3.9;4.7;5.5;5.8;5.2;5.4;6.6;8.2;5.7;8.3;11.2
Verenkiertoelinten taudit;7.3;11.1;13.2;14.4;16.5;18.3;17.6;23.4;21.2;28.8;30.1;26.4
Keuhkoputkentulehdus;..;25.9;22.2;16.7;15.6;12.7;8.5;10.1;8.4;7.9;8.8;7.0
Suolitulehdus, paksusuolentulehdus;30.3;29.7;26.1;17.7;10.7;7.0;1.7;1.2;0.9;1.1;3.1;2.0
Umpilis‰kkeen tulehdus;..;..;..;..;..;..;..;..;..;0.9;0.4;0.3
Vatsakalvon tulehdus (syy tuntematon);..;2.2;2.5;1.7;0.7;1.2;1.6;1.6;1.1;0.2;0.2;0.2
Virtsaelinten taudit;4.2;3.3;3.4;3.0;2.4;2.4;1.7;2.0;2.7;2.9;2.6;2.3
Raskauden j‰lkeinen verenmyrkytys;0.7;0.3;0.5;0.5;0.7;0.8;0.1;0.1;0.1;0.2;0.1;0.0
Abortin j‰lkeinen verenmyrkytys;..;..;..;..;..;..;0.3;0.6;0.8;0.8;1.0;0.2
Kasvaimet;7.2;7.3;7.6;8.0;8.0;7.9;8.9;9.2;11.3;12.6;13.7;15.5
Tapaturma;4.3;3.8;3.6;4.6;5.0;5.2;4.2;4.4;3.7;5.3;7.0;6.0
Itsemurha;1.8;1.1;1.1;2.1;2.8;1.9;2.5;3.5;3.4;3.4;3.2;2.7
Tappo, murha;0.4;0.5;0.5;1.0;1.2;1.8;1.2;1.8;1.2;12.0;25.2;0.7
Tuntematon kuolinsyy;63.1;19.2;15.7;13.8;12.5;14.1;8.0;11.2;11.6;15.9;16.9;12.0
